YEAR,FIRE NAME,UNIT,AGENCY,CAUSE,OBJECTIVE,REPORT ACRES,GIS ACRES,COMMENTS
1972,CRABTREE,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,924,
1972,BELTRAN,Fresno-Kings CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,888,
1972,COYOTE,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,836,
1972,WINNETT FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,747,
1972,GOLDEN SPRINGS FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,718,
1972,,Inyo National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),800,698,
1972,,Inyo National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),560,697,
1972,,Cleveland National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,676,
1972,SLUG GULCH,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,655,
1972,CUYAPAIPE,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),651,651,
1972,AKENS FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,643,
1972,DEADMAN GULCH,Tehama - Glenn CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,643,
1972,NISSEN,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,613,
1972,COVELO ROAD,Mendocino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,595,
1972,TRUMBULL,Stanislaus National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),675,582,20090305
1972,CONKLIN,Humboldt - Del Norte CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,571,
1972,SIZEMORE,Mendocino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,541,
1972,ARROWHEAD,Sonoma CDF (old),California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,485,
1972,SUNRISE,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,479,
1972,PROVO,Stanislaus National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),545,477,20090305
1972,,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,451,
1972,MOCCASIN,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,426,
1972,SPRING VALLEY,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,424,
1972,PULGA,Butte CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,396,
1972,,Plumas National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),316,344,
1972,BLUFF,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),0,315,
1972,WEBB/COLE,Butte CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,303,
1972,WARM SPRINGS #3,San Bernardino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,295,
1972,BARRETT,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,294,
1972,,Sequoia National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),272,262,
1972,,Lassen National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),120,252,
1972,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,249,
1972,,Eldorado National Forest,USDA Forest Service,Debris,Suppression (Wildfire),90,249,
1972,,Sequoia National Forest,USDA Forest Service,Arson,Suppression (Wildfire),340,239,
1972,,San Bernardino National Forest,USDA Forest Service,Arson,Suppression (Wildfire),200,225,
1972,CUYAPAIPE,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,225,
1972,PANTHER,Six Rivers National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),251,210,
1972,,Eldorado National Forest,USDA Forest Service,Arson,Suppression (Wildfire),190,209,
1972,CRESCENT FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,197,
1972,LILY,Tahoe National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),215,196,
1972,SIERRA COLLEGE,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,189,
1972,BUZZARD PEAK FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,183,
1972,BLUE JAY,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,168,
1972,CARMAN #1,Tahoe National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),130,158,
1972,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,158,
1972,,Toiyab National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,156,
1972,,Inyo National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),110,153,
1972,,Inyo National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),150,150,
1972,DADS POCKET,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),133,150,
1972,,Northern CA District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),160,146,
1972,,San Bernardino National Forest,USDA Forest Service,Arson,Suppression (Wildfire),130,131,
1972,LOOKOUT POINT,Sierra National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),160,130,
1972,BIG MEADOWS,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),105,129,
1972,UNION OIL CO. #8,Santa Barbara County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,122,
1972,,Inyo National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,120,
1972,TEHIPITE,Sequoia - Kings Canyon NP,National Park Service,Campfire,Suppression (Wildfire),172,115,
1972,SILL,Cleveland National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),110,112,
1972,,Cleveland National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,110,
1972,WEST LAKE,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),82,106,
1972,TURNER,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),94,105,
1972,,San Bernardino National Forest,USDA Forest Service,Arson,Suppression (Wildfire),111,104,
1972,,Sequoia National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),112,104,
1972,,Plumas National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),135,102,
1972,EL PORTAL,Yosemite National Park,National Park Service,Miscellaneous,Suppression (Wildfire),0,102,20090305
1971,ROMERO,Los Padres National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"14,538","15,650",
1971,TWIN,Modoc National Forest,USDA Forest Service,Railroad,Suppression (Wildfire),"3,305","3,359",
1971,SENCE RANCH BRUSH #2,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"2,819",
1971,BLUE,Los Padres National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,"2,803",
1971,CIELLO,Los Padres National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"2,010","2,546",
1971,P.G.&E. #10,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,273",
1971,GOODENOUGH,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"2,255",
1971,TOP,Mendocino National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),"1,710","1,854",
1971,BLOOMFIELD,Sequoia National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),"1,720","1,701",
1971,SWEETWATER,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,668",
1971,CASUSE,Modoc National Forest,USDA Forest Service,Railroad,Suppression (Wildfire),"1,469","1,568",
1971,RABBIT,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,224",
1971,HEALEY R. I. ESCAPE,Mendocino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,040",
1971,SCHEELINE,Tehama - Glenn CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,974,
1971,TOMKI ROAD,Mendocino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,896,
1971,SLACK CANYON,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,853,
