YEAR,FIRE NAME,UNIT,AGENCY,CAUSE,OBJECTIVE,REPORT ACRES,GIS ACRES,COMMENTS
1987,ELK,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),160,144,
1987,BOSWELL,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),144,144,
1987,,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,141,
1987,WEEKEND,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,139,
1987,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,131,
1987,,Plumas National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),232,130,
1987,BLACKBRUSH,Joshua Tree NP,National Park Service,Lightning,Suppression (Wildfire),200,124,
1987,HORSE LINTO,Six Rivers National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),123,122,
1987,,Six Rivers National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,122,
1987,DEEP LAKE,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),80,120,
1987,BOUNDARY,Lassen National Forest,USDA Forest Service,Debris,Suppression (Wildfire),101,119,
1987,,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,119,
1987,DUNCAN,Butte CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,118,
1987,SNOW BRUSH,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),170,116,
1987,SLIDE,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),300,115,
1987,,Sequoia National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),120,109,
1987,PARK #2,San Diego CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,106,
1987,SLATTERY,Northern CA District - BLM,Bureau of Land Management,Miscellaneous,Suppression (Wildfire),110,106,
1987,,Shasta-Trinity National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),125,101,
1987,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,100,
1986,DEER,Sierra National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),"11,860","12,410",
1986,LOS ALAMOS,Kern County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"12,140",
1986,BRADLEY,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"9,229",
1986,RIVER,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,"5,469",
1986,DRY CREEK,Northern CA District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),"8,000","3,422",
1986,,Toiyab National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),0,"3,381",
1986,LOWES,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,852",
1986,BOTTCHER,Los Padres National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"2,285","2,557",
1986,BRYANT CANYON,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,428",
1986,CASCADE CREEK,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),"2,069","2,069",
1986,SLATE,Tahoe National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),0,"2,040",
1986,RANCHITA,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,831",
1986,CAPITAN,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,610","1,586",
1986,SYCAMORE,Sierra National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"1,300","1,546",
1986,PANOCHE #2,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,497",
1986,WILMOT,Riverside CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,"1,443",
1986,ELEANOR,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),"1,441","1,441",
1986,SUEY RANCH WEST,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,409",
1986,COLORADO #2,Riverside CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,"1,286",
1986,POPPY FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"1,162",
1986,,Northern CA District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),0,"1,124",
1986,DEER VALLEY RANCH,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,073",
1986,PEAK,San Diego CDF,California Department of Forestry and Fire Protection,Campfire,Suppression (Wildfire),0,"1,022",
1986,MINE,San Diego CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,966,
1986,SAN FRANCISQUITO FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,939,
1986,LEONA FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,933,
1986,,Carson City District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),0,927,
1986,LAVER,Carson City District - BLM,Bureau of Land Management,Equipment Use,Suppression (Wildfire),125,813,
1986,SALMON,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,762,
1986,BRADLEY,Tulare County,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,736,
1986,,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),540,729,
1986,COULTERVILLE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,711,
1986,GLACIER POINT,Yosemite National Park,National Park Service,Campfire,Suppression (Wildfire),686,686,
1986,GLENWOOD,San Bernardino CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,650,
1986,CHIMNEY ROCK,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,626,
1986,FLINN,San Diego CDF,California Department of Forestry and Fire Protection,Playing with fire,Suppression (Wildfire),0,605,
1986,,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,597,
1986,CAMPBELL,Fresno-Kings CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,593,
1986,,Eldorado National Forest,USDA Forest Service,Debris,Suppression (Wildfire),420,552,
1986,GRIGORY,Bakersfield District - BLM,Bureau of Land Management,Miscellaneous,Suppression (Wildfire),52,545,
1986,CHOW,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,538,
1986,,Inyo National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),0,538,
1986,FLINN,San Diego CDF,California Department of Forestry and Fire Protection,Playing with fire,Suppression (Wildfire),0,503,
1986,,Shasta-Trinity National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),525,490,
1986,RI/ESCAPE,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,443,
1986,TAMARACK,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Smoking,Suppression (Wildfire),0,439,
1986,OWENS,Tehama - Glenn CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,419,
1986,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,411,
1986,HUNT,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,410,
1986,,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,409,
1986,BALDY,Sequoia - Kings Canyon NP,National Park Service,Lightning,Resource Benefit (WFU),425,403,
1986,BIDWELL PARK,Butte CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,400,
1986,CAMP CREE,Sequoia - Kings Canyon NP,National Park Service,Lightning,Resource Benefit (WFU),400,390,
1986,,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,383,
1986,HASLEY FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,379,
1986,,Mendocino National Forest,USDA Forest Service,Debris,Suppression (Wildfire),450,369,
1986,,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,368,
1986,DALEY #3,Cleveland National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,347,
1986,GODDE FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,346,
1986,DURHAM PENTZ #1,Butte CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,343,
1986,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,338,
1986,CAMINO DIABLO,Santa Clara CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,322,
1986,CHASE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,311,
1986,TECATE#18,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,301,
1986,THE RANCH FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,300,
1986,WILLOW SPRINGS,Sonoma CDF (old),California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,299,
1986,OLIVERA/BUGUNDA,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,292,
1986,DURHAM PENTZ #2,Butte CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,285,
1986,WHITE ROCK SERIES,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,282,
1986,JUNIPER FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,269,
1986,W TURNER,Yosemite National Park,National Park Service,Lightning,Suppression (Wildfire),253,253,
1986,DAULTON,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,243,
1986,PROCTOR,Cleveland National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,235,
1986,,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,232,
1986,,San Bernardino National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,216,
1986,CYRUS CYN,Bakersfield District - BLM,Bureau of Land Management,Arson,Suppression (Wildfire),130,210,
1986,VAN DOLLEN,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,205,
1986,WAVERLY,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,196,
1986,ROADSIDE 83,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,189,
1986,GUIDOTTI,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,163,
1986,WHITE ROCK SERIES,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,162,
1986,ROADSIDE 82,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,143,
1986,AERO_CLUB,Vandenberg Air Force Base,Department of Defense,Escaped Prescribed Burn,Suppression (Wildfire),130,139,
1986,,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,132,
1986,CAMERON,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),150,131,
1986,BROWNS FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,118,
1986,,Plumas National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),149,118,
1986,TRASH CYN FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,118,
1986,,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,115,
1986,RIVERSIDE-PROBLEM,Stanislaus National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,114,20090305
1986,,Sequoia National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),150,108,
1986,ASSIST #65,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,108,
1986,ASSIST #76,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,107,
1986,,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,100,
1985,WHEELER #2,Ventura County,Contract County,Miscellaneous,Suppression (Wildfire),"119,361","122,687",
1985,LAS PILITAS,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),"74,640","84,271",Local Number 025
1985,GORDA-RAT,Los Padres National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"65,700","56,158",
1985,FERNDALE,Los Padres National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"45,710","46,805",
1985,CHERRY,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,"40,642",
1985,CABANZO,San Bernardino National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"20,861","20,971",
1985,,Los Padres National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,"14,370",
1985,LEXINGTON,Santa Clara CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,"13,128",
1985,ONION,San Bernardino CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),0,"9,084",
1985,MILLER,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,"8,270",
1985,RICH BAR,Sequoia National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),"9,233","8,264",
1985,ROBLAR,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"8,425","8,136",
1985,PONOCHE 2,Bakersfield District - BLM,Bureau of Land Management,Equipment Use,Suppression (Wildfire),"7,300","6,933",
1985,DECKER FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"6,567",
1985,LOS GATOS #2,Fresno-Kings CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"6,444",
1985,BALD MT.,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"5,919",
1985,PIUMA,Santa Monica Mtns National Recreation Area,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"5,391","From BARCdata, air photo interp, and LACOreported perimeter. Most accurate."
1985,WIZARD,Los Padres National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"5,215","4,830",
1985,SHERWOOD FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"3,795",
1985,TRELOAR COMPLEX,Shasta-Trinity National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"3,900","3,786",
1985,MILLER,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"3,622",
1985,OWENS,San Bernardino CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),"3,750","3,061",
1985,SUGARLOAF,Sequoia - Kings Canyon NP,National Park Service,Lightning,Resource Benefit (WFU),"3,500","2,848",
1985,DOUGHERTY,Sequoia - Kings Canyon NP,National Park Service,Lightning,Resource Benefit (WFU),"2,930","2,595",
1985,HUMMINGBIRD,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"2,383",
1985,BASS,Lassen - Modoc CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,"2,382",
1985,SHELL,Orange County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"2,367",
1985,FINLEY,Santa Clara CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,"2,057",
1985,PEACH HILL,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"1,992",
1985,ROADSIDE 3 4 5 6,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,854",
1985,DELTA,Shasta-Trinity National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"1,620","1,783",
1985,PATE VALLEY,Yosemite National Park,National Park Service,Campfire,Suppression (Wildfire),"1,761","1,761",
1985,TELEGRAPH,Orange County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"1,635",
1985,SECO,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),"1,800","1,565",
1985,PINEY CREEK,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,"1,563",
1985,REY,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),551,"1,474",
1985,SUEY RANCH,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,460",
1985,WAGNER COMPLEX,Shasta-Trinity National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"1,202","1,336",
1985,BLACK MOUNTAIN,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"1,324",
1985,ROCK CREEK,Butte CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,268",
1985,KENDRICK,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),"1,252","1,252",
1985,BOX CANYON (PIONEER) FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"1,247",
1985,THOMAS,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,200","1,182",
1985,PARSONS,San Bernardino CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,"1,146",
1985,ADELAIDE,Sequoia National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"1,406","1,142",
1985,,Northern CA District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),0,"1,140",
1985,BUMB,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,"1,123",
1985,OAT,Sequoia National Forest,USDA Forest Service,Playing with fire,Suppression (Wildfire),"1,259","1,089",
1985,SYCAMORE,Cleveland National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,"1,088",
1985,GARLINGER,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,"1,078",
1985,MURRER,Lassen - Modoc CDF,California Department of Forestry and Fire Protection,Campfire,Suppression (Wildfire),0,"1,073",
1985,BARTLETT,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),"1,052","1,053",
1985,HIDDEN VALLEY,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,032",
1985,LOST BEAR,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),"1,018","1,018",
1985,GANN,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,004",
1985,BRILEBURG,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,982,
1985,BRICEBURG,Stanislaus National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,019",982,20090305
1985,ASSIST #38,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,966,
1985,IRON PEAK,Mendocino CDF,California Department of Forestry and Fire Protection,Playing with fire,Suppression (Wildfire),0,903,
1985,JAMESON,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,873,
1985,RANCHO MISSION1A,Orange County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,831,
1985,8 MILE,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,813,
1985,,Inyo National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,798,
1985,MAMMOTH,Sierra National Forest,USDA Forest Service,Arson,Suppression (Wildfire),580,764,
1985,HORSE,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,761,
1985,CARTER,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,745,
1985,,Carson City District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),0,740,
1985,MT GLEASON FIRE/USFS,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,726,
1985,SKINNER,Riverside CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,675,
1985,GOPHER,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,674,
1985,TAPO,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,657,
1985,DILLER,Shasta-Trinity National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,652,
1985,,Northern CA District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),0,600,
1985,AMADOR,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,588,
1985,,Lassen National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),276,574,
1985,,Lassen National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),530,545,
1985,,Riverside CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,540,
1985,FRANKLIN SERIES,Santa Clara CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,539,
1985,SYCAMORE,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,525,
1985,DEER,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,494,
1985,,Northern CA District - BLM,Bureau of Land Management,Unknown / Unidentified,Suppression (Wildfire),0,490,
1985,GRIZZLY,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,486,
1985,GAVALIN,Riverside CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,464,
1985,HUCKLEBERRY,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,459,
1985,RIVER,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,452,
1985,TULLOCH,Tuolumne - Calaveras CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,447,
1985,MANNING,Bakersfield District - BLM,Bureau of Land Management,Smoking,Suppression (Wildfire),400,436,
1985,PINE,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,422,
1985,,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,421,
1985,ARCHIBALD,San Bernardino CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,378,
1985,BUCK,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),348,348,
1985,HWY 58 #2,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,338,
1985,EL CHORRO,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,336,
1985,RIVER,Stanislaus National Forest,USDA Forest Service,Arson,Suppression (Wildfire),316,332,20090305
1985,TWELVE,Shasta-Trinity National Forest,USDA Forest Service,Debris,Suppression (Wildfire),230,328,
1985,PALA,Riverside CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,317,
1985,BLUE NOSE,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,294,
1985,DEVIL,Santa Clara CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,281,
1985,,Six Rivers National Forest,USDA Forest Service,Arson,Suppression (Wildfire),320,277,
1985,,Inyo National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,277,
1985,BACKBONE,Fresno-Kings CDF,California Department of Forestry and Fire Protection,Equipment Use,Suppression (Wildfire),0,242,
1985,HAYES,Santa Clara CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,241,
1985,JOHNSON FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,232,
1985,CALGROVE FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,228,
1985,MAGIC,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,227,
1985,,Eldorado National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),207,224,
1985,,Los Padres National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,224,
1985,,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,215,
1985,,Inyo National Forest,USDA Forest Service,Smoking,Suppression (Wildfire),215,212,
1985,,Inyo National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),0,212,
1985,LINDA FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,204,
1985,HILL,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,199,
1985,OTAY #12,Cleveland National Forest,USDA Forest Service,Unknown / Unidentified,Suppression (Wildfire),0,188,
1985,LOVE,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),171,187,
1985,DOG BAR,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Smoking,Suppression (Wildfire),0,187,
1985,SUMMIT,Stanislaus National Forest,USDA Forest Service,Equipment Use,Suppression (Wildfire),145,176,20090305
1985,USFS ASSIST,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,174,
1985,BONELLI FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,169,
1985,OAK CREEK,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,161,
1985,WISHON,Sequoia National Forest,USDA Forest Service,Arson,Suppression (Wildfire),140,158,
1985,PARK FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,156,The 1975 fire and the 1985 fire are very similar.
1985,LEHR,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),0,155,
1985,MERRY CHRISTMAS,Humboldt - Del Norte CDF,California Department of Forestry and Fire Protection,Debris,Suppression (Wildfire),0,154,
1985,,San Bernardino National Forest,USDA Forest Service,Arson,Suppression (Wildfire),70,144,
1985,,Yosemite National Park,National Park Service,Lightning,Resource Benefit (WFU),142,142,
1985,PECHACHO,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),295,141,
1985,ACQUISTIT,Sequoia - Kings Canyon NP,National Park Service,Lightning,Suppression (Wildfire),80,140,
1985,MESA #4,San Diego CDF,California Department of Forestry and Fire Protection,Arson,Suppression (Wildfire),0,136,
1985,GREEN RIVER,Orange County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,135,
1985,GUADALUPE,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,132,
